number,docID,edinetCode,filerName,disclosureStatusFlg,xbrlFlg
317,S1003JLB,E24753,株式会社トランザクション,0,1
318,S1003JR7,E01031,旭化学工業株式会社,0,1
319,S1003KLL,E03305,株式会社サイゼリヤ,0,1
320,S1003KFF,E05042,株式会社トーセ,0,1
321,S1003KPW,E01734,株式会社エヌ・ピー・シー,0,1
322,S1003KKA,E30020,株式会社ＡＮＡＰ,0,1
323,S1003JYE,E03074,株式会社島忠,0,1
324,S1003KRY,E04608,株式会社明治座,0,1
325,S1003KIN,E05630,株式会社アクロディア,0,1
326,S1003JSL,E24998,株式会社ジー・スリーホールディングス,0,1
327,S1003KSB,E21035,ウエルシアホールディングス株式会社,0,1
328,S1003KSE,E02092,株式会社アドテックプラズマテクノロジー,0,1
329,S1003K6C,E04675,菊陽緑化興産株式会社,0,1
330,S1003KV6,E30999,日本ＰＣサービス株式会社,0,1
331,S1003KLG,E03221,株式会社文教堂グループホールディングス,0,1
332,S1003KT6,E25761,株式会社ヒト・コミュニケーションズ,0,1
333,S1003KL7,E30504,株式会社白鳩,0,1
334,S1003KTC,E03223,株式会社大庄,0,1
335,S1003KWX,E05584,夢の街創造委員会株式会社,0,1
336,S1003K90,E30969,株式会社ＳＨＩＦＴ,0,1
337,S1003L23,E01465,株式会社マルマエ,0,1
338,S1003L3Q,E04677,御調観光開発株式会社,0,1
339,S1003MI9,E00422,マルサンアイ株式会社,0,1
340,S1003NDL,E24991,株式会社ノエビアホールディングス,0,1
341,S1003MZ8,E04925,株式会社ステップ,0,1
342,S1003LY2,E05961,オーストラリア・ニュージーランド銀行,0,0
343,S1003NKM,E05933,ホープウェル・ハイウェイ・インフラストラクチャー・リミテッド,0,0
344,S1003O38,E03437,ＢＥＥＮＯＳ株式会社,0,1
345,S1003O7E,E05072,株式会社サイバーエージェント,0,1
346,S1003O7Z,E02858,株式会社システムソフト,0,1
347,S1003OA5,E01676,ホソカワミクロン株式会社,0,1
348,S1003O64,E00723,株式会社中央経済社ホールディングス,0,1
349,S1003O2G,E02913,株式会社トーカン,0,1
350,S1003OLH,E05343,株式会社ドワンゴ,0,1
351,S1003OD6,E30996,株式会社ＣＲＩ・ミドルウェア,0,1
352,S1003OIK,E05707,アクセルマーク株式会社,0,1
353,S1003OS1,E05292,シミックホールディングス株式会社,0,1
354,S1003ODG,E21391,株式会社アスコット,0,1
355,S1003OXS,E02762,太洋物産株式会社,0,1
356,S1003OR8,E04683,株式会社明智ゴルフ倶楽部,0,1
357,S1003OU3,E05181,株式会社サカイホールディングス,0,1
358,S1003N9B,E05759,ウエストパック・バンキング・コーポレーション,0,0
359,S1003ORM,E05538,株式会社エイティング,0,1
360,S1003OTV,E02449,日本フォームサービス株式会社,0,1
361,S1003OU7,E01568,株式会社丸山製作所,0,1
362,S1003OKG,E03343,株式会社ＰＬＡＮＴ,0,1
363,S1003OQM,E23492,株式会社三菱総合研究所,0,1
364,S1003OOX,E04275,アジア航測株式会社,0,1
365,S1003ORL,E25786,株式会社イーピーミント,0,1
366,S1003P2C,E05351,株式会社メディネット,0,1
367,S1003P0F,E05520,株式会社夢テクノロジー,0,1
368,S1003ODO,E02548,三洋貿易株式会社,0,1
369,S1003NP2,E04072,株式会社ディア・ライフ,0,1
370,S1003NVX,E09895,株式会社ユアーズ,0,1
371,S1003P3W,E05335,株式会社夢真ホールディングス,0,1
372,S1003PC2,E04644,内海観光開発株式会社,0,1
373,S1003P7H,E02865,株式会社アイナボホールディングス,0,1
374,S1003ORB,E03155,株式会社　マルキョウ,0,1
375,S1003PDA,E00515,株式会社　篠崎屋,0,1
376,S1003OQL,E02810,東北化学薬品株式会社,0,1
377,S1003PH0,E01970,ＫＩホールディングス株式会社,0,1
378,S1003OXP,E05360,日本ファルコム株式会社,0,1
380,S1003PA9,E01034,長谷川香料株式会社,0,1
381,S1003PJ3,E02492,前田工繊株式会社,0,1
384,S1003OD5,E01997,助川電気工業株式会社,0,1
385,S1003OAM,E00399,ジャパン・フード＆リカー・アライアンス株式会社,0,1
386,S1003OQI,E03264,扶桑電通株式会社,0,1
387,S1003PB1,E00975,富士製薬工業株式会社,0,1
388,S1003PJC,E30648,株式会社フリークアウト・ホールディングス,0,1
389,S1003O1P,E05414,パラカ株式会社,0,1
390,S1003P8F,E03173,株式会社マミーマート,0,1
391,S1003NY3,E02327,株式会社モリテックス,0,1
392,S1003OFN,E05196,ＥＰＳホールディングス株式会社,0,1
393,S1003PE9,E04038,株式会社ランドビジネス,0,1
394,S1003JO3,E00258,株式会社ＥＴＳホールディングス,0,1
395,S1003ONE,E01955,浜松ホトニクス株式会社,0,1
396,S1003PEU,E06004,ニュー・ジーランド（Ｈｅｒ　Ｍａｊｅｓｔｙ　ｔｈｅ　Ｑｕｅｅｎ　ｉｎ　ｒｉｇｈｔ　ｏｆ　Ｎｅｗ　Ｚｅａｌａｎｄ）,0,0
397,S1003PMG,E24576,株式会社フーマイスターエレクトロニクス,0,1
398,S1003PDO,E05340,株式会社　情報企画,0,1
399,S1003ORE,E00707,株式会社学研ホールディングス,0,1
400,S1003OSO,E01716,東亜バルブエンジニアリング株式会社,0,1
401,S1003P3I,E02586,株式会社ヤナセ,0,1
402,S1003PNA,E05585,株式会社ティア,0,1
403,S1003OD4,E04729,株式会社小原カントリークラブ,0,1
404,S1003O3V,E00276,日本乾溜工業株式会社,0,1
405,S1003P5G,E02799,株式会社ダルトン,0,1
406,S1003P8C,E30022,Ｍ＆Ａキャピタルパートナーズ株式会社,0,1
407,S1003P95,E04691,ホウライ株式会社,0,1
408,S1003P6Y,E05233,株式会社ＣＥホールディングス,0,1
409,S1003PAO,E22007,株式会社ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,0,1
410,S1003PM6,E05206,株式会社セプテーニ・ホールディングス,0,1
411,S1003OHI,E22042,株式会社シイエム・シイ,0,1
412,S1003JXC,E05646,株式会社オリエンタルコンサルタンツホールディングス,0,1
413,S1003POV,E30772,マルホ株式会社,0,1
414,S1003LTP,E02346,株式会社エスケーエレクトロニクス,0,1
415,S1003PAB,E05424,株式会社インタートレード,0,1
416,S1003M2M,E05336,ジョルダン株式会社,0,1
417,S1003PPA,E21649,株式会社アサカ理研,0,1
418,S1003OZH,E27054,株式会社ユーグレナ,0,1
419,S1003PSQ,E02971,レカム株式会社,0,1
420,S1003OJH,E00495,株式会社大森屋,0,1
421,S1003PL3,E02719,加藤産業株式会社,0,1
422,S1003PJR,E02672,株式会社東陽テクニカ,0,1
423,S1003P5O,E02352,ＩＭＶ株式会社,0,1
424,S1003PRG,E02470,株式会社ＳＨＯＥＩ,0,1
425,S1003PJN,E05476,ＧＭＯペイメントゲートウェイ株式会社,0,1
426,S1003PDC,E05101,株式会社インフォメーションクリエーティブ,0,1
427,S1003PXV,E03928,ＫＯＮＯＩＫＥ　Ｃｏ．株式会社,0,1
428,S1003PL4,E06041,輸出金融保険公社,0,0
429,S1003OC5,E01037,日東エフシー株式会社,0,1
430,S1003P9C,E20810,株式会社秋津原,0,1
431,S1003PRE,E04900,株式会社長大,0,1
432,S1003OUB,E04848,西尾レントオール株式会社,0,1
433,S1003PEZ,E27280,株式会社オルトプラス,0,1
434,S1003PUS,E04186,九州産業交通ホールディングス株式会社,0,1
435,S1003PIE,E00254,株式会社マサル,0,1
436,S1003PVT,E04684,株式会社笠間ゴルフクラブ,0,1
437,S1003Q0Y,E02040,ＯＢＡＲＡ　ＧＲＯＵＰ株式会社,0,1
438,S1003Q1L,E27062,株式会社コロプラ,0,1
439,S1003Q1N,E05174,ＡＰＡＭＡＮ株式会社,0,1
440,S1003PKE,E06022,ビクトリア州財務公社,0,0
441,S1003PVJ,E02075,株式会社ピクセラ,0,1
442,S1003Q12,E05268,株式会社ネクシィーズグループ,0,1
443,S1003Q2W,E00937,日本農薬株式会社,0,1
444,S1003Q3A,E05623,株式会社インタースペース,0,1
445,S1003PQ0,E01682,日精エー・エス・ビー機械株式会社,0,1
446,S1003P75,E27043,株式会社アビスト,0,1
447,S1003PTQ,E02576,横浜冷凍株式会社,0,1
448,S1003PWB,E01381,川岸工業株式会社,0,1
449,S1003PJS,E30698,株式会社イグニス,0,1
450,S1003PVP,E05049,株式会社エムティーアイ,0,1
451,S1003PF8,E01715,株式会社タカトリ,0,1
452,S1003Q4O,E24917,イー・ガーディアン株式会社,0,1
